listing_id,city,district,listing_name,property_type,listing_type,bedrooms,baths,guests,adr_usd,occupancy,ttm_revenue,avg_stay,rating,reviews,registered,source
1125768534754225925,Da Nang,Sơn Trà District,Center Fireworks Riverside 5* -3Brs- 18F Free Pool,apartment,Entire rental unit,3,2.0,6,107.8,0.68,27208.0,3.5,4.95,86,False,sourced-airroi
1528044754975034030,Ho Chi Minh City,,Signature Stay in @Metropole w/ 4BR & Sky Garden,apartment,Entire rental unit,4,3.0,10,275.0,0.241,24551.0,2.9,4.69,16,False,sourced-airroi
609737143031673208,Da Nang,Ngũ Hành Sơn District,4 bedroom pool villa,villa,Entire villa,4,4.0,8,223.6,0.407,24521.0,2.5,4.8,15,False,sourced-airroi
1400567230964204816,Da Nang,,*BIGSale *Yumi Villa -4brs-FullAc-Lovely Private,villa,Entire home,4,3.0,8,141.9,0.476,24312.0,3.7,4.8,20,False,sourced-airroi
849758501687453533,Da Nang,Sơn Trà District,a house/ 3bedroom/ near Dragon Bridge/Stable wifi,villa,Entire home,3,3.0,6,145.1,0.463,24085.0,4.2,4.8,92,False,sourced-airroi
39011095,Ho Chi Minh City,District 1,Saigon Skyline Suite next to Palace Garden,apartment,Entire condo,3,2.0,6,210.2,0.285,24056.0,4.2,4.87,105,False,sourced-airroi
1336255011568127074,Da Nang,,Hi Sky House/Dragon Bridge View/5'mWalk Han Market,villa,Entire home,4,6.0,8,93.8,0.69,24048.0,3.0,4.28,25,False,sourced-airroi
1355541923237697249,Da Lat,,Dalat Nordic Villa • Jacuzzi & Sauna,villa,Entire home,3,1.0,6,332.1,0.212,23973.0,2.6,5.0,5,False,sourced-airroi
1012014789430780437,Ho Chi Minh City,District 4,Hochiminh City Center | Luxurious 4 Beds free pool,apartment,Entire rental unit,4,2.0,8,116.3,0.518,23363.0,3.5,4.7,37,False,sourced-airroi
1186512108323767439,Da Nang,Sơn Trà District,My Khe Beach | Elegant 4BR Villa w/ Pool & Kitchen,villa,Entire home,4,4.0,8,148.3,0.456,23316.0,3.4,4.67,12,False,sourced-airroi
1494830016633152121,Ho Chi Minh City,,4BR Landmark81 • GlassCurve SkylineView• CRConcept,apartment,Entire condo,4,2.0,8,224.4,0.263,23211.0,3.0,4.85,27,False,sourced-airroi
1084503609426774684,Da Nang,Hải Châu District,New home 4br luxury Center city Near Han Market,villa,Entire home,4,3.0,8,106.8,0.582,23184.0,3.0,4.94,66,False,sourced-airroi
1125625585071010911,Da Nang,,Modern Home with 4 Spacious Bedrooms-Kimmy’sHouse,villa,Entire home,4,4.0,12,158.7,0.37,23127.0,3.6,4.77,39,False,sourced-airroi
1384643861366681114,Da Nang,,Huge 3BR 128m2•Heart of Danang•Walk to Han river,apartment,Entire rental unit,3,2.0,8,74.5,0.809,23050.0,3.2,5.0,73,False,sourced-airroi
861186113506266650,Da Lat,Phường 2,Villa ngay trung tâm- 4bedrooms-bbq-free parking,villa,Entire home,4,3.5,12,187.9,0.347,22952.0,2.8,4.87,30,False,sourced-airroi
1137412672054065144,Ho Chi Minh City,District 1,4 Bedrooms Apartment in Saigon Center - 9Trip Stay,apartment,Entire rental unit,4,3.0,8,115.3,0.583,22672.0,2.9,4.49,41,False,sourced-airroi
1437696800347796140,Ho Chi Minh City,,Luxurious Sky Villa/Perfect for Group/4 Bed + 1 Riverview,villa,Entire rental unit,4,3.0,10,276.2,0.262,22330.0,3.7,4.78,9,False,sourced-airroi
1436307869971469211,Ho Chi Minh City,,Cozy 1Br; Thao Dien; Infinity Pool; Free Gym;Sauna,apartment,Entire condo,1,1.0,2,84.6,0.712,22049.0,5.1,4.94,32,False,sourced-airroi
31089534,Da Nang,Thanh Khê District,ZoroHome•CornerSuite•Panoramic•DragonBridge•Pickup,villa,Entire condo,3,2.0,9,97.8,0.594,21870.0,3.7,4.88,289,False,sourced-airroi
1005954962461487107,Ho Chi Minh City,District 3,High Floor Leman Luxury Central 3 BR Sky Pool,apartment,Entire rental unit,3,2.0,6,138.7,0.436,21870.0,1.7,4.72,25,False,sourced-airroi
1571761940768097681,Da Nang,,ViNa Cozy Home - 3 minutes to the beach - Full A/C,villa,Entire villa,4,4.0,8,123.6,0.436,21779.0,4.0,4.93,29,False,sourced-airroi
1355004471026623932,Da Lat,,4bedrooms -Bida-BBQ-Free Parking,villa,Entire home,4,3.5,12,171.2,0.359,21719.0,2.8,5.0,4,False,sourced-airroi
1352696731927512031,Da Nang,,Home 4Br Full Ac Near Han Market Dragon Bridge,villa,Entire home,4,3.0,8,99.1,0.597,21558.0,3.1,4.67,15,False,sourced-airroi
